Date,Month Rate
2018-08-21,1.91
2018-08-22,1.92
2018-08-23,1.9
2018-08-24,1.91
2018-08-27,1.91
2018-08-28,1.93
2018-08-29,1.93
2018-08-30,1.93
2018-08-31,1.91
2018-09-04,1.97
2018-09-05,1.97
2018-09-06,1.94
2018-09-07,1.94
2018-09-10,1.93
2018-09-11,1.99
2018-09-12,1.98
2018-09-13,1.97
2018-09-14,1.98
2018-09-17,1.97
2018-09-18,2.02
2018-09-19,2.0
2018-09-20,1.99
2018-09-21,2.01
2018-09-24,2.02
2018-09-25,2.09
2018-09-26,2.08
2018-09-27,2.07
2018-09-28,2.09
2018-10-01,2.09
2018-10-02,2.11
2018-10-03,2.12
2018-10-04,2.13
2018-10-05,2.12
2018-10-09,2.14
2018-10-10,2.14
2018-10-11,2.1
2018-10-12,2.1
2018-10-15,2.12
2018-10-16,2.16
2018-10-17,2.17
2018-10-18,2.16
2018-10-19,2.15
2018-10-22,2.14
2018-10-23,2.18
2018-10-24,2.17
2018-10-25,2.16
2018-10-26,2.13
2018-10-29,2.14
2018-10-30,2.17
2018-10-31,2.16
2018-11-01,2.17
2018-11-02,2.15
2018-11-05,2.15
2018-11-06,2.2
2018-11-07,2.19
2018-11-08,2.17
2018-11-09,2.16
2018-11-13,2.2
2018-11-14,2.19
2018-11-15,2.14
2018-11-16,2.15
2018-11-19,2.16
2018-11-20,2.19
2018-11-21,2.2
2018-11-23,2.19
2018-11-26,2.16
2018-11-27,2.27
2018-11-28,2.27
2018-11-29,2.27
2018-11-30,2.27
2018-12-03,2.25
2018-12-04,2.33
2018-12-06,2.32
2018-12-07,2.28
2018-12-10,2.28
2018-12-11,2.24
2018-12-12,2.25
2018-12-13,2.32
2018-12-14,2.32
2018-12-17,2.32
2018-12-18,2.3
2018-12-19,2.3
2018-12-20,2.38
2018-12-21,2.37
2018-12-24,2.38
2018-12-26,2.37
2018-12-27,2.39
2018-12-28,2.35
2018-12-31,2.4
2019-01-02,2.36
2019-01-03,2.38
2019-01-04,2.36
2019-01-07,2.38
2019-01-08,2.36
2019-01-09,2.36
2019-01-10,2.38
2019-01-11,2.37
2019-01-14,2.38
2019-01-15,2.37
2019-01-16,2.37
2019-01-17,2.37
2019-01-18,2.36
2019-01-22,2.34
2019-01-23,2.33
2019-01-24,2.34
2019-01-25,2.32
2019-01-28,2.35
2019-01-29,2.35
2019-01-30,2.36
2019-01-31,2.38
2019-02-01,2.37
2019-02-04,2.37
2019-02-05,2.35
2019-02-06,2.36
2019-02-07,2.39
2019-02-08,2.39
2019-02-11,2.4
2019-02-12,2.38
2019-02-13,2.38
2019-02-14,2.41
2019-02-15,2.39
2019-02-19,2.4
2019-02-20,2.37
2019-02-21,2.39
2019-02-22,2.39
2019-02-25,2.4
2019-02-26,2.39
2019-02-27,2.39
2019-02-28,2.4
2019-03-01,2.4
2019-03-04,2.4
2019-03-05,2.39
2019-03-06,2.38
2019-03-07,2.41
2019-03-08,2.41
2019-03-11,2.4
2019-03-12,2.39
2019-03-13,2.39
2019-03-14,2.43
2019-03-15,2.42
2019-03-18,2.43
2019-03-19,2.41
2019-03-20,2.41
2019-03-21,2.46
2019-03-22,2.44
2019-03-25,2.42
2019-03-26,2.42
2019-03-27,2.41
2019-03-28,2.4
2019-03-29,2.39
2019-04-01,2.38
2019-04-02,2.39
2019-04-03,2.38
2019-04-04,2.39
2019-04-05,2.38
2019-04-08,2.39
2019-04-09,2.38
2019-04-10,2.36
2019-04-11,2.38
2019-04-12,2.37
2019-04-15,2.38
2019-04-16,2.39
2019-04-17,2.38
2019-04-18,2.4
2019-04-22,2.4
2019-04-23,2.39
2019-04-24,2.38
2019-04-25,2.39
2019-04-26,2.38
2019-04-29,2.41
2019-04-30,2.38
2019-05-01,2.38
2019-05-02,2.4
2019-05-03,2.38
2019-05-06,2.39
2019-05-07,2.39
2019-05-08,2.38
2019-05-09,2.39
2019-05-10,2.38
2019-05-13,2.37
2019-05-14,2.37
2019-05-15,2.36
2019-05-16,2.36
2019-05-17,2.35
2019-05-20,2.35
2019-05-21,2.33
2019-05-22,2.32
2019-05-23,2.34
2019-05-24,2.33
2019-05-28,2.31
2019-05-29,2.31
2019-05-30,2.33
2019-05-31,2.31
2019-06-03,2.32
2019-06-04,2.3
2019-06-05,2.26
2019-06-06,2.28
2019-06-07,2.26
2019-06-10,2.26
2019-06-11,2.23
2019-06-12,2.15
2019-06-13,2.2
2019-06-14,2.19
2019-06-17,2.18
2019-06-18,2.14
2019-06-19,2.1
2019-06-20,2.13
2019-06-21,2.12
2019-06-24,2.08
2019-06-25,2.07
2019-06-26,2.07
2019-06-27,2.15
2019-06-28,2.14
2019-07-01,2.13
2019-07-02,2.18
2019-07-03,2.21
2019-07-05,2.22
2019-07-08,2.19
2019-07-09,2.18
2019-07-10,2.14
2019-07-11,2.13
2019-07-12,2.12
2019-07-15,2.13
2019-07-16,2.12
2019-07-17,2.09
2019-07-18,2.07
2019-07-19,2.07
2019-07-22,2.09
2019-07-23,2.07
2019-07-24,2.05
2019-07-25,2.12
2019-07-26,2.09
2019-07-29,2.08
2019-07-30,2.03
2019-07-31,1.96
2019-08-01,2.07
2019-08-02,2.07
2019-08-05,2.03
2019-08-06,2.01
2019-08-07,1.98
2019-08-08,2.05
2019-08-09,2.01
2019-08-12,2.05
2019-08-13,2.01
2019-08-14,1.95
