Date,Open,High,Low,Close*,Adj. close**,Volume
07 May 2019,2913.03,2913.03,2862.60,2884.05,2884.05,3767100000
06 May 2019,2908.89,2937.32,2898.21,2932.47,2932.47,3181520000
03 May 2019,2929.21,2947.85,2929.21,2945.64,2945.64,3338120000
02 May 2019,2922.16,2931.68,2900.50,2917.52,2917.52,3778890000
01 May 2019,2952.33,2954.13,2923.36,2923.73,2923.73,3645850000
30 Apr. 2019,2937.14,2948.22,2924.11,2945.83,2945.83,3919330000
29 Apr. 2019,2940.58,2949.52,2939.35,2943.03,2943.03,3118780000
26 Apr. 2019,2925.81,2939.88,2917.56,2939.88,2939.88,3248500000
25 Apr. 2019,2928.99,2933.10,2912.84,2926.17,2926.17,3425280000
24 Apr. 2019,2934.00,2936.83,2926.05,2927.25,2927.25,3448960000
23 Apr. 2019,2909.99,2936.31,2908.53,2933.68,2933.68,3635030000
22 Apr. 2019,2898.78,2909.51,2896.35,2907.97,2907.97,2997950000
18 Apr. 2019,2904.81,2908.40,2891.90,2905.03,2905.03,3506850000
17 Apr. 2019,2916.04,2918.00,2895.45,2900.45,2900.45,3602300000
16 Apr. 2019,2912.26,2916.06,2900.71,2907.06,2907.06,3402210000
15 Apr. 2019,2908.32,2909.60,2896.48,2905.58,2905.58,3088330000
12 Apr. 2019,2900.86,2910.54,2898.37,2907.41,2907.41,3688490000
11 Apr. 2019,2891.92,2893.42,2881.99,2888.32,2888.32,2938540000
10 Apr. 2019,2881.37,2889.71,2879.13,2888.21,2888.21,3062380000
09 Apr. 2019,2886.58,2886.88,2873.33,2878.20,2878.20,3007980000
08 Apr. 2019,2888.46,2895.95,2880.78,2895.77,2895.77,3054030000
05 Apr. 2019,2884.16,2893.24,2882.99,2892.74,2892.74,3146820000
04 Apr. 2019,2873.99,2881.28,2867.14,2879.39,2879.39,3015180000
03 Apr. 2019,2876.09,2885.25,2865.17,2873.40,2873.40,3550240000
02 Apr. 2019,2868.24,2872.90,2858.75,2867.24,2867.24,3246900000
01 Apr. 2019,2848.63,2869.40,2848.63,2867.19,2867.19,3500760000
29 Mar. 2019,2828.27,2836.03,2819.23,2834.40,2834.40,3740700000
28 Mar. 2019,2809.40,2819.71,2798.77,2815.44,2815.44,3158170000
27 Mar. 2019,2819.72,2825.56,2787.72,2805.37,2805.37,3372930000
26 Mar. 2019,2812.66,2829.87,2803.99,2818.46,2818.46,3266050000
25 Mar. 2019,2796.01,2809.79,2785.02,2798.36,2798.36,3376580000
22 Mar. 2019,2844.52,2846.16,2800.47,2800.71,2800.71,4237200000
21 Mar. 2019,2819.72,2860.31,2817.38,2854.88,2854.88,3546800000
20 Mar. 2019,2831.34,2843.54,2812.43,2824.23,2824.23,3771200000
19 Mar. 2019,2840.76,2852.42,2823.27,2832.57,2832.57,3620220000
18 Mar. 2019,2822.61,2835.41,2821.99,2832.94,2832.94,3552190000
15 Mar. 2019,2810.79,2830.73,2810.79,2822.48,2822.48,5962730000
14 Mar. 2019,2810.38,2815.00,2803.46,2808.48,2808.48,3469730000
13 Mar. 2019,2799.78,2821.24,2799.78,2810.92,2810.92,3766150000
12 Mar. 2019,2787.34,2798.32,2786.73,2791.52,2791.52,3414230000
11 Mar. 2019,2747.61,2784.00,2747.61,2783.30,2783.30,3749030000
08 Mar. 2019,2730.79,2744.13,2722.27,2743.07,2743.07,3423130000
07 Mar. 2019,2766.53,2767.25,2739.09,2748.93,2748.93,3904860000
06 Mar. 2019,2790.27,2790.27,2768.69,2771.45,2771.45,3786600000
05 Mar. 2019,2794.41,2796.44,2782.97,2789.65,2789.65,3585690000
04 Mar. 2019,2814.37,2816.88,2767.66,2792.81,2792.81,3919810000
01 Mar. 2019,2798.22,2808.02,2787.38,2803.69,2803.69,3972280000
28 Feb. 2019,2788.11,2793.73,2782.51,2784.49,2784.49,4396930000
27 Feb. 2019,2787.50,2795.76,2775.13,2792.38,2792.38,3767130000
26 Feb. 2019,2792.36,2803.12,2789.47,2793.90,2793.90,3645680000
25 Feb. 2019,2804.35,2813.49,2794.99,2796.11,2796.11,3804380000
22 Feb. 2019,2780.67,2794.20,2779.11,2792.67,2792.67,3427810000
21 Feb. 2019,2780.24,2781.58,2764.55,2774.88,2774.88,3559710000
20 Feb. 2019,2779.05,2789.88,2774.06,2784.70,2784.70,3835450000
